refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
BNZQUI03,ok,,24,12,6,24,P 2_1/c,81,1,1.62832710278e-15,1.7763568394e-15,0,7.97001353803e-17
BODCOM,ok,,36,18,9,36,P 2_1/c,81,1,1.48029736617e-15,2.46716227694e-15,0,7.39206078503e-16
BOMSED,ok,,84,21,21,84,P 2_1/c,81,1,0,2.03012210217e-15,0,2.49231746352e-15
BONNEA,ok,,68,17,17,68,P 2_1/c,81,1,0,1.82860262879e-15,0,4.053091196e-16
BONVOS,ok,,40,20,20,40,P -1,2,0,0,3.46389583683e-15,0,2.01144957282e-15
BONWAE,ok,,84,21,21,84,P 2_12_12_1,115,3,1.67062131325e-15,1.94553368125e-15,0,0
BOPHUJ,ok,,144,18,18,144,C 2/c,90,1,0,1.82570008494e-15,0,4.817313215e-16
BOQSIJ,ok,,136,34,34,136,P 2_1/c,81,1,1.63268091857e-15,1.76329539205e-15,0,9.4225738323e-16
BOTYIT,ok,,40,10,10,40,P 2_1/c,81,1,0,2.48689957516e-15,0,1.59827706625e-15
BOTZIU,ok,,76,19,19,76,P 2_1/c,81,1,0,1.86984930463e-15,0,4.28379554052e-16
BOTZOA,ok,,72,18,18,72,P 2_1/c,81,1,0,1.82570008494e-15,0,6.14286399525e-16
BOXQEK,ok,,124,31,31,124,P 2_1/c,81,1,0,1.5328240469e-15,0,9.44577749351e-16
BOXRUE,ok,,200,25,25,200,P bca,290,3,1.26121335597e-15,1.81188397619e-15,0,0
BOZFEC,ok,,104,26,26,104,P 2_1/c,81,1,0,2.69869596755e-15,0,3.33328194868e-15
BOZGED,ok,,68,17,17,68,P 2_1/c,81,1,0,2.92576420607e-15,0,1.35834885007e-15
BUCNEU,ok,,50,25,25,50,P -1,2,0,0,2.30926389122e-15,0,1.50761625406e-15
BUDYEF,ok,,88,22,22,88,P 2_1/c,81,1,0,2.05895906385e-15,0,1.09612319221e-15
BUPQAE01,ok,,64,16,11,64,P nma,292,3,1.60982338571e-15,1.88737914186e-15,0,0
BUPXOC,ok,,60,15,15,60,P 2_1/c,81,1,0,1.7763568394e-15,0,1.25690569064e-15
BURXAN,ok,,96,24,24,96,P 2_1/c,81,1,0,2.23894976633e-15,0,1.32882593817e-15
BUTFUT,ok,,100,25,25,100,P 2_12_12_1,115,3,0,1.63424829225e-15,0,0
BUTSUL10,ok,,56,14,14,56,P na2_1,164,3,1.33226762955e-15,1.71291552371e-15,0,0
BZDMAZ02,ok,,60,15,15,60,P na2_1,164,3,8.881784197e-16,1.48029736617e-15,0,0
BZOXZT,ok,,30,15,15,30,P 2_1,6,1,0,1.48029736617e-15,0,0
BZPHAN01,ok,,120,30,30,120,P 2_12_12_1,115,3,1.42108547152e-15,1.71714494475e-15,0,0
BZTIEP,ok,,84,21,21,84,P 2_1/c,81,1,0,2.32618157541e-15,0,1.61108596156e-15
BZTZAD,ok,,80,20,20,80,P 2_1/c,81,1,0,2.48689957516e-15,0,1.26871593646e-15
CABPYR11,ok,,60,15,15,60,P 2_1/c,81,1,0,2.84217094304e-15,0,3.52497367711e-15
CABYAG,ok,,68,17,17,68,P 2_12_12_1,115,3,1.69798815531e-15,1.98533999698e-15,0,0
CACDOA,ok,,80,20,20,80,P 2_1/c,81,1,1.73194791842e-15,1.90958360236e-15,0,5.34217114989e-16
CACTAD,ok,,116,29,29,116,P 2_1/c,81,1,0,1.92949104969e-15,0,1.24845689342e-15
CAFKEZ,ok,,104,26,26,104,P 2_1/c,81,1,0,1.55431223448e-15,0,1.65631397486e-15
CAFVAG,ok,,64,16,16,64,P ca2_1,143,3,1.05471187339e-15,1.49880108324e-15,0,3.08148791102e-33
CAGJEC01,ok,,56,14,14,56,P 2_1/c,81,1,0,1.64947420801e-15,0,0
CAJWUG02,ok,,64,16,16,64,P 2_1/c,81,1,0,1.49880108324e-15,0,4.04357103356e-16
CAMPQU03,ok,,104,26,26,104,P 2_12_12_1,115,3,9.9066054505e-16,1.46891046335e-15,0,0
CANAPQ01,ok,,160,20,20,160,C 2/c,90,1,1.88737914186e-15,2.44249065418e-15,0,3.05047098692e-15
CANNUA,ok,,34,17,17,34,P -1,2,0,0,1.69798815531e-15,0,1.21286140809e-15
CANRAM,ok,,60,30,30,60,P -1,2,0,0,2.01320441799e-15,0,2.64721577992e-15
CANVAP,ok,,100,25,25,100,P 2_1/c,81,1,0,1.74082970261e-15,0,1.14153131392e-15
CAPMSU,ok,,80,20,20,80,P 2_12_12_1,115,3,1.75415237891e-15,1.90958360236e-15,0,0
CASHOT03,ok,,22,11,11,22,P -1,2,0,0,1.8571003321e-15,0,1.21780363571e-15
CATXEC,ok,,46,23,23,46,P -1,2,0,0,2.97346688334e-15,0,2.41501167076e-15
CAXNUL01,ok,,72,18,18,72,P 2_1/c,81,1,0,2.22044604925e-15,0,8.25672863414e-16
CAXPAT,ok,,34,17,17,34,P c,21,1,0,2.06370868107e-15,0,2.73714384491e-16
CAXPUN,ok,,34,17,17,34,P c,21,1,0,1.64574236591e-15,0,4.13669098975e-16
CBITAZ,ok,,56,14,14,56,P 2_12_12_1,115,3,1.14194368247e-15,1.52259157663e-15,0,0
CDCDOX,ok,,56,14,14,56,P 2_12_12_1,115,3,9.51619735393e-16,1.52259157663e-15,0,0
CEBBIX,ok,,36,18,18,36,P -1,2,0,0,2.56584876802e-15,0,1.63067337411e-15
CEBDES,ok,,52,13,13,52,P 2_1/c,81,1,0,2.5962138422e-15,0,3.40527606113e-15
CEBZIU,ok,,120,30,30,120,P 2_1/c,81,1,0,1.70234197109e-15,0,1.05859765398e-15
CECMOM,ok,,32,16,16,32,P -1,2,0,0,1.88737914186e-15,0,2.27354801652e-15
CEFMUX,ok,,88,22,22,88,P 2_1/c,81,1,0,2.78565049815e-15,0,2.32365238162e-15
CEGPOV,ok,,80,20,20,80,P 2_1/c,81,1,0,2.33146835171e-15,0,1.50436570661e-15
CEHQEM,ok,,24,12,12,24,P -1,2,0,0,2.44249065418e-15,0,6.50268727753e-16
CEJMAF,ok,,64,16,16,64,P 2_1/c,81,1,0,1.49880108324e-15,0,0
CEKGUU01,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
CELDUS,ok,,120,30,30,120,P 2_12_12_1,115,3,1.15463194561e-15,1.71714494475e-15,0,0
CETLAQ,ok,,64,16,16,64,P 2_1/c,81,1,0,2.60902410787e-15,0,3.51668416559e-15
